texts, polarity, subjectivity
South Africans blame Nigerians for all the bad things happening in their country and use that as an excuse for their xenopho…,-0.375,0.358333333
In South Africa they do this to their wives and women. What breaks my heart is that someone stood there recording n watchi…,0,0
Lizzy Chukwu^ Deputy DG of Chartered Insurance Institute of Nigeria went on an official trip to South Africa in June 2019…,0,0
HAPPENING NOW: Nigerian youths storm Jakande in Lekki Lagos. Eye witness reports confirmed to,0.4,1
This AKA individual is so tone deaf. He totally missed an opportunity to simply clarify his earlier thoughts on the fo…,0,0.501785714
Looting in progress in Shoprite^ Sangotedo. Rioters and touts seen running away with Flat screen TVs and electron…,-0.025,0.125
Insinuating that is not applying desirable momentum on the xenophobia in SA b/cos majority of the victims aren…,0,0
VIDEO: Bicycles^ electronics^ grocery items looted as rioters break into outlet in Lagos,0,0
Xenophobia: I Will Never Go To South Africa Again – Burna Boy,0,0
Vector has cancelled his South Africa tour because of this xenophobia BS 🙌🏻 how many times will i Stan today? 😩 i reStan…,0.5,0.5
In South Africa they do this to their wives and women. What breaks my heart is that someone stood there recording n watchi…,0,0
Please be careful sharing images and videos from South Africa. A lot of them are old^ including the police chief talki…,0,0.6
We can say “AFRICA UNITE” all we want. We need REAL^ PRACTICAL solutions to fight Xenophobia.,0.2,0.3
South African Police have not shot any South African but Nigerian Police have already killed a Nigerian for a Peaceful Pro…,0.0125,0.125
(Xenophobia)....THIS IS DEEP!!!....Please retweet this(very important) hopefully it will get to the right authorities in Nige…,-0.021428571,0.845238095
Who owns the Shoprite/MTN franchise? Nigerians! Who can't resume to work tomorrow? Nigerians! Who won't be able to feed thei…,0.5,0.625
They offered you a job and you refused it because of xenophobia. I won't forget that day!,0,0
If you're from South Africa and you base in Nigeria. Please reply me with your Location for A hangout.,-0.8,1
South African Police have not shot any South African but Nigerian Police have already killed a Nigerian for a Peaceful Pro…,0.0125,0.125
If an SA Official in charge of the Police feels this way about foreigners in his country^ then you can rest assured Nigerian…,0,0
Naija my country! This is too bad ooo! XENOPHOBIA turn to stealing? God help Naija from poverty oooo! Happens live…,-1,0.666666667
Sooo ... You are telling me that Nigerians ACTUALLY Believe that they are being KILLED in South Africa !?!?!?!?!?…,-0.305175781,0.05
what do you feel should be done right now concerning the ongoing xenophobia ...,0.285714286,0.535714286
Who owns the Shoprite/MTN franchise? Nigerians! Who can't resume to work tomorrow? Nigerians! Who won't be able to feed thei…,0.5,0.625
I have been warning elected officials for months about the coming…,0,0
Nigerians are using this xenophobia stuff to steal 😂 If you wanna shutdown shop rite please protect our integrity n…,0,0
If you are wondering why Nigerians and is trending 👉🏿,0,0
Somalia will be far way better from this xenophobia land,0.3,0.75
Ycee Burna Boy Vector Peruzzi Wizkid Skales All proved that they’re our African Giants by speaking up against xenophobia…,0,0
Nigerians have had enough of it. How did we get here? Africans against Africans^ Blacks against Blacks ⚔️,0,0.5
BATTLE OF XENOPHOBIA PLAYER RATINGS: Skales- 9/10 Perruzi - 9.5/10 Wizkid - 8/10 Kate Henshaw - -6115/10 Toke Makinwa -…,0,0
the Nigerian Government should please find ways to protect its people in South Africa. this needs to be stopped^ it’s so he…,0,0
Looting in progress in Shoprite^ Sangotedo. Rioters and touts seen running away with Flat screen TVs and electron…,-0.025,0.125
South African Police have not shot any South African but Nigerian Police have already killed a Nigerian for a Peaceful Pro…,0.0125,0.125
South Africa is Africa’s largest &amp; most advanced economy that relies on rest of Africa to expand its Banks^ Supermarke…,0.45,0.55
If you’re not speaking against the stupidity that is then you’re in support of it.,-0.6,1
VIDEO: Bicycles^ electronics^ grocery items looted as rioters break into outlet in Lagos,0,0
